timestamp,meter_reading_actual,meter_reading_llm
2016-01-01 00:00:00,15.84,8.6
2016-01-01 01:00:00,15.94,8.8
2016-01-01 02:00:00,16.23,9.0
2016-01-01 03:00:00,16.45,9.2
2016-01-01 04:00:00,17.01,9.1
2016-01-01 05:00:00,15.95,9.3
2016-01-01 06:00:00,18.33,10.1
2016-01-01 07:00:00,18.27,11.1
2016-01-01 08:00:00,17.98,12.6
2016-01-01 09:00:00,16.7,14.1
2016-01-01 10:00:00,17.15,14.6
2016-01-01 11:00:00,16.14,14.1
2016-01-01 12:00:00,14.79,13.6
2016-01-01 13:00:00,14.31,13.1
2016-01-01 14:00:00,13.72,12.6
2016-01-01 15:00:00,13.36,13.1
2016-01-01 16:00:00,13.29,13.6
2016-01-01 17:00:00,12.57,14.1
2016-01-01 18:00:00,13.45,13.6
2016-01-01 19:00:00,13.58,13.1
2016-01-01 20:00:00,13.82,12.6
2016-01-01 21:00:00,13.76,12.1
2016-01-01 22:00:00,14.51,11.1
2016-01-01 23:00:00,13.92,10.1
