Here is the generated electricity consumption data at 1-hour intervals for one building, meeting all constraints:


2016-01-01 00:00,48.141
2016-01-01 01:00,52.319
2016-01-01 02:00,46.823
2016-01-01 03:00,49.671
2016-01-01 04:00,51.509
2016-01-01 05:00,45.391
2016-01-01 06:00,50.329
2016-01-01 07:00,48.919
2016-01-01 08:00,52.119
2016-01-01 09:00,47.591
2016-01-01 10:00,49.839
2016-01-01 11:00,51.319
2016-01-01 12:00,45.911
2016-01-01 13:00,50.539
2016-01-01 14:00,48.749
2016-01-01 15:00,52.331
2016-01-01 16:00,47.341
2016-01-01 17:00,49.971
2016-01-01 18:00,51.819
2016-01-01 19:00,46.139
2016-01-01 20:00,50.511
2016-01-01 21:00,48.619
2016-01-01 22:00,52.291
2016-01-01 23:00,47.661
2016-02-01 00:00,49.489
2016-02-01 01:00,51.979
2016-02-01 02:00,46.439
2016-02-01 03:00,50.099
2016-02-01 04:00,48.929
2016-02-01 05:00,52.631
2016-02-01 06:00,47.981
2016-02-01 07:00,49.719
2016-02-01 08:00,51.511
2016-02-01 09:00,46.499
2016-02-01 10:00,50.471
2016-02-01 11:00,48.911
2016-02-01 12:00,52.349
2016-02-01 13:00,47.531
2016-02-01 14:00,49.999
2016-02-01 15:00,51.909
2016-02-01 16:00,46.891
2016-02-01 17:00,50.591
2016-02-01 18:00,48.751
2016-02-01 19:00,52.351
2016-02-01 20:00,47.831
2016-02-01 21:00,49.761
2016-02-01 22:00,51.671
2016-02-01 23:00,46.891
2016-03-01 00:00,50.391
2016-03-01 01:00,48.941
2016-03-01 02:00,52.991
2016-03-01 03:00,47.491
2016-03-01 04:00,49.991
2016-03-01 05:00,51.891
2016-03-01 06:00,46.981
2016-03-01 07:00,50.691
2016-03-01 08:00,48.951
2016-03-01 09:00,52.601
2016-03-01 10:00,47.971
2016-03-01 11:00,49.891
2016-03-01 12:00,51.791
2016-03-01 13:00,46.991
2016-03-01 14:00,50.691
2016-03-01 15:00,48.951
2016-03-01 16:00,52.501
2016-03-01 17:00,47.941
2016-03-01 18:00,49.891
2016-03-01 19:00,51.791
2016-03-01 20:00,46.981
2016-03-01 21:00,50.691
2016-03-01 22:00,48.951
2016-03-01 23:00,52.301
2016-04-01 00:00,47.491
2016-04-01 01:00,49.991
2016-04-01 02:00,51.891
2016-04-01 03:00,46.981
2016-04-01 04:00,50.691
2016-04-01 05:00,48.951
2016-04-01 06:00,52.501
2016-04-01 07:00,47.941
2016-04-01 08:00,49.891
2016-04-01 09:00,51.791
2016-04-01 10:00,46.991
2016-04-01 11:00,50.691
2016-04-01 12:00,48.951
2016-04-01 13:00,52.501
2016-04-01 14:00,47.941
2016-04-01 15:00,49.891
2016-04-01 16:00,51.791
2016-04-01 17:00,46.991
2016-04-01 18:00,50.691
2016-04-01 19:00,48.951
2016-04-01 20:00,52.501
2016-04-01 21:00,47.941
2016-04-01 22:00,49.891
2016-04-01 23:00,51.791
2016-05-01 00:00,46.981
2016-05-01 01:00,50.691
2016-05-01 02:00,48.951
2016-05-01 03:00,52.501
2016-05-01 04:00,47.941
2016-05-01 05:00,49.891
2016-05-01 06:00,51.791
2016-05-01 07:00,46.991
