model,building_id,primary_use,square_feet,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
llama3.2,1135,Education,150393,1,24,1,2.842083,native:/api/generate,1009
llama3.2,1135,Education,150393,7,168,2,1.773333,native:/api/generate,1693
llama3.2,1135,Education,150393,30,720,1,1.909017,native:/api/generate,1586
llama3.2,113,Education,100481,1,24,1,2.152536,native:/api/generate,2355
llama3.2,113,Education,100481,7,168,1,1.650686,native:/api/generate,1610
llama3.2,113,Education,100481,30,720,1,1.800728,native:/api/generate,1689
llama3.2,272,Education,4583,1,24,5,1.468226,native:/api/generate,1160
llama3.2,272,Education,4583,7,168,5,1.573811,native:/api/generate,1195
llama3.2,272,Education,4583,30,720,1,1.441091,native:/api/generate,1301
llama3.2,1073,Office,194111,1,24,3,2.093455,native:/api/generate,2080
llama3.2,1073,Office,194111,7,168,1,2.01687,native:/api/generate,1453
llama3.2,1073,Office,194111,30,720,1,1.380967,native:/api/generate,1126
llama3.2,1069,Office,20864,1,24,1,1.655995,native:/api/generate,1420
llama3.2,1069,Office,20864,7,168,4,1.408389,native:/api/generate,1217
llama3.2,1069,Office,20864,30,720,1,1.973048,native:/api/generate,1704
llama3.2,1086,Office,143973,1,24,1,1.632374,native:/api/generate,1454
llama3.2,1086,Office,143973,7,168,1,2.002988,native:/api/generate,1821
llama3.2,1086,Office,143973,30,720,2,1.831049,native:/api/generate,1649
llama3.2,155,Office,51688,1,24,1,1.622254,native:/api/generate,1577
llama3.2,155,Office,51688,7,168,2,2.491008,native:/api/generate,2791
llama3.2,155,Office,51688,30,720,1,1.485836,native:/api/generate,1354
llama3.2,1206,Office,99946,1,24,3,2.1694,native:/api/generate,2078
llama3.2,1206,Office,99946,7,168,1,1.859173,native:/api/generate,1827
llama3.2,1206,Office,99946,30,720,2,1.842652,native:/api/generate,1615
llama3.2,107,Education,97532,1,24,2,1.266929,native:/api/generate,1053
llama3.2,107,Education,97532,7,168,1,1.475229,native:/api/generate,1178
llama3.2,107,Education,97532,30,720,1,1.172837,native:/api/generate,965
llama3.2,140,Office,50020,1,24,24,1.295144,native:/api/generate,763
llama3.2,140,Office,50020,7,168,2,1.859318,native:/api/generate,1756
llama3.2,140,Office,50020,30,720,356,13.940783,native:/api/generate,5783
llama3.2,1223,Office,52141,1,24,14,2.418312,native:/api/generate,2075
llama3.2,1223,Office,52141,7,168,3,1.427512,native:/api/generate,1114
llama3.2,1223,Office,52141,30,720,1,2.129172,native:/api/generate,2010
llama3.2,1143,Office,96612,1,24,1,1.445714,native:/api/generate,1219
llama3.2,1143,Office,96612,7,168,1,1.342368,native:/api/generate,1124
llama3.2,1143,Office,96612,30,720,1,1.974075,native:/api/generate,1634
llama3.2,11,Education,49073,1,24,1,1.83135,native:/api/generate,1810
llama3.2,11,Education,49073,7,168,1,1.464226,native:/api/generate,1123
llama3.2,11,Education,49073,30,720,4,1.870088,native:/api/generate,1804
llama3.2,105,Education,50623,1,24,4,1.136103,native:/api/generate,901
llama3.2,105,Education,50623,7,168,1,1.987188,native:/api/generate,2044
llama3.2,105,Education,50623,30,720,4,2.275195,native:/api/generate,1991
llama3.2,1246,Office,50327,1,24,1,1.768178,native:/api/generate,1610
llama3.2,1246,Office,50327,7,168,2,1.113945,native:/api/generate,939
llama3.2,1246,Office,50327,30,720,3,1.74587,native:/api/generate,1494
llama3.1:8b,1135,Education,150393,1,24,22,5.160973,native:/api/generate,1156
llama3.1:8b,1135,Education,150393,7,168,4,3.928725,native:/api/generate,2729
llama3.1:8b,1135,Education,150393,30,720,11,4.21774,native:/api/generate,2416
llama3.1:8b,113,Education,100481,1,24,24,2.814149,native:/api/generate,1189
llama3.1:8b,113,Education,100481,7,168,4,3.633034,native:/api/generate,2553
llama3.1:8b,113,Education,100481,30,720,25,5.576244,native:/api/generate,2369
llama3.1:8b,272,Education,4583,1,24,24,3.148705,native:/api/generate,1188
llama3.1:8b,272,Education,4583,7,168,54,6.609562,native:/api/generate,1606
llama3.1:8b,272,Education,4583,30,720,11,5.968623,native:/api/generate,2220
llama3.1:8b,1073,Office,194111,1,24,73,15.294296,native:/api/generate,3170
llama3.1:8b,1073,Office,194111,7,168,4,16.333229,native:/api/generate,4057
llama3.1:8b,1073,Office,194111,30,720,9,11.060924,native:/api/generate,2487
llama3.1:8b,1069,Office,20864,1,24,23,15.522773,native:/api/generate,1245
llama3.1:8b,1069,Office,20864,7,168,288,122.389756,native:/api/generate,6413
llama3.1:8b,1069,Office,20864,30,720,2,16.139096,native:/api/generate,2100
llama3.1:8b,1086,Office,143973,1,24,20,12.509584,native:/api/generate,891
llama3.1:8b,1086,Office,143973,7,168,46,26.576433,native:/api/generate,1806
llama3.1:8b,1086,Office,143973,30,720,32,31.224195,native:/api/generate,2898
llama3.1:8b,155,Office,51688,1,24,24,14.654767,native:/api/generate,1050
llama3.1:8b,155,Office,51688,7,168,288,142.714119,native:/api/generate,6424
llama3.1:8b,155,Office,51688,30,720,13,21.742417,native:/api/generate,2213
llama3.1:8b,1206,Office,99946,1,24,16,12.948081,native:/api/generate,894
llama3.1:8b,1206,Office,99946,7,168,2,19.460629,native:/api/generate,2342
llama3.1:8b,1206,Office,99946,30,720,21,15.731129,native:/api/generate,1310
llama3.1:8b,107,Education,97532,1,24,23,11.32173,native:/api/generate,602
llama3.1:8b,107,Education,97532,7,168,96,44.975532,native:/api/generate,2241
llama3.1:8b,107,Education,97532,30,720,32,32.912733,native:/api/generate,3068
llama3.1:8b,140,Office,50020,1,24,22,12.071655,native:/api/generate,800
llama3.1:8b,140,Office,50020,7,168,137,64.771313,native:/api/generate,3370
llama3.1:8b,140,Office,50020,30,720,7,17.736224,native:/api/generate,2121
llama3.1:8b,1223,Office,52141,1,24,22,11.698833,native:/api/generate,639
llama3.1:8b,1223,Office,52141,7,168,2,15.706537,native:/api/generate,2014
llama3.1:8b,1223,Office,52141,30,720,11,18.152527,native:/api/generate,1918
llama3.1:8b,1143,Office,96612,1,24,24,14.045955,native:/api/generate,1014
llama3.1:8b,1143,Office,96612,7,168,77,41.581396,native:/api/generate,2542
llama3.1:8b,1143,Office,96612,30,720,8,23.633493,native:/api/generate,3164
llama3.1:8b,11,Education,49073,1,24,24,12.073781,native:/api/generate,690
llama3.1:8b,11,Education,49073,7,168,127,59.885366,native:/api/generate,3003
llama3.1:8b,11,Education,49073,30,720,288,156.69351,native:/api/generate,8240
llama3.1:8b,105,Education,50623,1,24,22,12.996247,native:/api/generate,917
llama3.1:8b,105,Education,50623,7,168,288,234.503808,native:/api/generate,7295
llama3.1:8b,105,Education,50623,30,720,277,237.237305,native:/api/generate,7629
llama3.1:8b,1246,Office,50327,1,24,24,16.65035,native:/api/generate,1037
llama3.1:8b,1246,Office,50327,7,168,288,223.451378,native:/api/generate,7508
llama3.1:8b,1246,Office,50327,30,720,7,31.728673,native:/api/generate,1858
gpt-oss:20b,1135,Education,150393,1,24,24,29.258015,native:/api/generate,551
gpt-oss:20b,1135,Education,150393,7,168,168,92.356094,native:/api/generate,4031
gpt-oss:20b,1135,Education,150393,30,720,718,647.610124,openai:/v1/chat/completions,15077
gpt-oss:20b,113,Education,100481,1,24,24,58.241315,native:/api/generate,575
gpt-oss:20b,113,Education,100481,7,168,168,110.015159,native:/api/generate,3863
gpt-oss:20b,113,Education,100481,30,720,264,870.256064,native:/api/generate,6077
gpt-oss:20b,272,Education,4583,1,24,24,70.133014,native:/api/generate,551
gpt-oss:20b,272,Education,4583,7,168,168,121.584705,native:/api/generate,3809
gpt-oss:20b,272,Education,4583,30,720,720,320.056944,native:/api/generate,16559
gpt-oss:20b,1073,Office,194111,1,24,24,38.818303,native:/api/generate,671
gpt-oss:20b,1073,Office,194111,7,168,168,128.923786,native:/api/generate,4031
gpt-oss:20b,1073,Office,194111,30,720,720,353.319036,native:/api/generate,17279
gpt-oss:20b,1069,Office,20864,1,24,24,48.192309,native:/api/generate,549
gpt-oss:20b,1069,Office,20864,7,168,168,129.136809,native:/api/generate,3231
gpt-oss:20b,1086,Office,143973,1,24,24,34.922252,native:/api/generate,551
gpt-oss:20b,1086,Office,143973,7,168,168,145.164511,native:/api/generate,3527
gpt-oss:20b,1086,Office,143973,30,720,720,345.196744,native:/api/generate,17279
gpt-oss:20b,155,Office,51688,1,24,24,24.933009,native:/api/generate,551
gpt-oss:20b,155,Office,51688,7,168,168,167.28062,native:/api/generate,3863
gpt-oss:20b,155,Office,51688,30,720,720,696.393591,openai:/v1/chat/completions,16829
gpt-oss:20b,1206,Office,99946,1,24,24,22.20477,native:/api/generate,623
gpt-oss:20b,1206,Office,99946,7,168,168,215.405806,native:/api/generate,3908
