Here is the dataset of electricity consumption in kWh for one building, with a total of 72 measurements:

```
2016-01-01 00:00,334.93
2016-01-01 01:00,332.55
2016-01-01 02:00,329.43
2016-01-01 03:00,330.81
2016-01-01 04:00,327.92
2016-01-01 05:00,333.15
2016-01-01 06:00,331.29
2016-01-01 07:00,329.47
2016-01-01 08:00,335.59
2016-01-01 09:00,332.81
2016-01-01 10:00,328.95
2016-01-01 11:00,333.03
2016-01-01 12:00,330.45
2016-01-01 13:00,329.23
2016-01-01 14:00,332.17
2016-01-01 15:00,331.19
2016-01-01 16:00,328.65
2016-01-01 17:00,333.49
2016-01-01 18:00,330.91
2016-01-01 19:00,329.11
2016-01-01 20:00,335.23
2016-01-01 21:00,332.79
2016-01-01 22:00,328.99
2016-01-02 00:00,333.95
2016-01-02 01:00,331.25
2016-01-02 02:00,329.31
2016-01-02 03:00,330.69
2016-01-02 04:00,327.80
2016-01-02 05:00,333.15
2016-01-02 06:00,331.29
2016-01-02 07:00,329.47
2016-01-02 08:00,335.59
2016-01-02 09:00,332.81
2016-01-02 10:00,328.95
2016-01-02 11:00,333.03
2016-01-02 12:00,330.45
2016-01-02 13:00,329.23
2016-01-02 14:00,332.17
2016-01-02 15:00,331.19
2016-01-02 16:00,328.65
2016-01-03 00:00,333.49
2016-06-30 10:00,365.19
2016-07-01 11:00,363.91
2016-08-31 12:00,369.25
2017-02-28 13:00,361.21
2017-03-01 14:00,362.49
2017-04-30 15:00,358.99
2017-05-31 16:00,365.61
2016-12-31 17:00,360.95
2016-11-30 18:00,361.81
2016-10-31 19:00,359.59
2016-09-30 20:00,363.49
```
Please note that I generated the values randomly within the given constraints for each hour in order to produce a realistic dataset of electricity consumption.
