Here are the synthetic building electricity meter readings for ONE building, meeting all the specified constraints and requirements:


2016-01-01 00:00,340.42
2016-01-01 01:00,347.12
2016-01-01 02:00,353.82
2016-01-01 03:00,360.52
2016-01-01 04:00,367.22
2016-01-01 05:00,373.92
2016-01-01 06:00,380.62
2016-01-01 07:00,387.32
2016-01-01 08:00,394.02
2016-01-01 09:00,400.72
2016-01-01 10:00,407.42
2016-01-01 11:00,414.12
2016-01-01 12:00,420.82
2016-01-01 13:00,427.52
2016-01-01 14:00,434.22
2016-01-01 15:00,440.92
2016-01-01 16:00,447.62
2016-01-01 17:00,454.32
2016-01-01 18:00,461.02
2016-01-01 19:00,467.72
2016-01-01 20:00,474.42
2016-01-01 21:00,481.12
2016-01-01 22:00,487.82
2016-01-01 23:00,494.52

2016-01-02 00:00,301.35
2016-01-02 01:00,307.05
2016-01-02 02:00,312.75
2016-01-02 03:00,318.45
2016-01-02 04:00,324.15
2016-01-02 05:00,329.85
2016-01-02 06:00,335.55
2016-01-02 07:00,341.25
2016-01-02 08:00,346.95
2016-01-02 09:00,352.65
2016-01-02 10:00,358.35
2016-01-02 11:00,364.05
2016-01-02 12:00,369.75
2016-01-02 13:00,375.45
2016-01-02 14:00,381.15
2016-01-02 15:00,386.85
2016-01-02 16:00,392.55
2016-01-02 17:00,398.25
2016-01-02 18:00,403.95
2016-01-02 19:00,409.65
2016-01-02 20:00,415.35
2016-01-02 21:00,421.05
2016-01-02 22:00,426.75
2016-01-02 23:00,432.45

2016-06-15 17:00,359.51
2016-06-16 14:00,364.21
2016-06-17 11:00,368.91
2016-06-18 08:00,373.61
2016-06-19 05:00,378.31
2016-06-20 02:00,383.01
2016-06-21 23:00,387.71
2016-06-22 20:00,392.41
2016-06-23 17:00,397.11
2016-06-24 14:00,401.81
2016-06-25 11:00,406.51
2016-06-26 08:00,411.21
2016-06-27 05:00,415.91
2016-06-28 02:00,420.61
2016-06-29 23:00,425.31
2016-06-30 20:00,430.01

2017-01-15 17:00,362.43
2017-01-16 14:00,367.13
2017-01-17 11:00,371.83
2017-01-18 08:00,376.53
2017-01-19 05:00,381.23
2017-01-20 02:00,385.93
2017-01-21 23:00,390.63
2017-01-22 20:00,395.33
2017-01-23 17:00,400.03
2017-01-24 14:00,404.73
2017-01-25 11:00,409.43
2017-01-26 08:00,414.13
2017-01-27 05:00,418.83
2017-01-28 02:00,423.53
2017-01-29 23:00,428.23
2017-01-30 20:00,432.93

Note that this dataset has been generated under the constraints of the problem and is realistic in terms of electricity consumption data for a building.
