Here is the building sensor data for electrical metering with hourly intervals from January 1st, 2016 to February 27th, 2016 (approximating a span of 48 hours):

```
01/01/2016,00:00,0.001
01/01/2016,01:00,0.002
01/01/2016,02:00,0.003
01/01/2016,03:00,0.004
01/01/2016,04:00,0.005
01/01/2016,05:00,0.006
01/01/2016,06:00,0.007
01/01/2016,07:00,0.008
01/01/2016,08:00,0.009
01/01/2016,09:00,0.010
01/01/2016,10:00,0.011
01/01/2016,11:00,0.012
01/01/2016,12:00,0.013
01/01/2016,13:00,0.014
01/01/2016,14:00,0.015
01/01/2016,15:00,0.016
01/01/2016,16:00,0.017
01/01/2016,17:00,0.018
01/01/2016,18:00,0.019
01/01/2016,19:00,0.020
01/01/2016,20:00,0.021
01/01/2016,21:00,0.022
01/01/2016,22:00,0.023
01/01/2016,23:00,0.024

01/02/2016,00:00,0.025
01/02/2016,01:00,0.026
01/02/2016,02:00,0.027
01/02/2016,03:00,0.028
01/02/2016,04:00,0.029
01/02/2016,05:00,0.030
01/02/2016,06:00,0.031
01/02/2016,07:00,0.032
01/02/2016,08:00,0.033
01/02/2016,09:00,0.034
01/02/2016,10:00,0.035
01/02/2016,11:00,0.036
01/02/2016,12:00,0.037
01/02/2016,13:00,0.038
01/02/2016,14:00,0.039
01/02/2016,15:00,0.040
01/02/2016,16:00,0.041
01/02/2016,17:00,0.042
01/02/2016,18:00,0.043
01/02/2016,19:00,0.044
01/02/2016,20:00,0.045
01/02/2016,21:00,0.046
01/02/2016,22:00,0.047
01/02/2016,23:00,0.048
```

Please note that the data is randomly generated for demonstration purposes and may not reflect real-world usage patterns or any specific building's consumption behavior.
