model,requested_days,expected_measurements,actual_measurements,response_time_s,endpoint_used,chars
llama3.2,1,24,2,16.262157,native:/api/generate,3101
llama3.2,2,48,1,3.360427,native:/api/generate,542
llama3.2,3,72,1,3.12825,native:/api/generate,587
llama3.2,4,96,1,4.398312,native:/api/generate,789
llama3.2,5,120,1,6.048753,native:/api/generate,1139
llama3.2,6,144,184,41.772053,native:/api/generate,4005
llama3.2,7,168,2,363.050717,openai:/v1/chat/completions,552
llama3.1:8b,1,24,24,19.971572,native:/api/generate,1496
llama3.1:8b,2,48,42,24.396258,native:/api/generate,1571
llama3.1:8b,3,72,0,21.764326,native:/api/generate,1132
llama3.1:8b,4,96,1,24.11136,native:/api/generate,1352
llama3.1:8b,5,120,74,41.212739,native:/api/generate,2406
llama3.1:8b,6,144,0,25.972218,native:/api/generate,1548
llama3.1:8b,7,168,93,84.651883,native:/api/generate,2274
gpt-oss:20b,1,24,24,42.316212,native:/api/generate,597
gpt-oss:20b,2,48,48,42.655375,native:/api/generate,1247
gpt-oss:20b,3,72,72,74.970573,native:/api/generate,1583
gpt-oss:20b,4,96,96,54.991174,native:/api/generate,2397
gpt-oss:20b,5,120,120,56.546331,native:/api/generate,3082
gpt-oss:20b,6,144,216,137.480094,native:/api/generate,4969
gpt-oss:20b,7,168,168,79.685552,native:/api/generate,4120
