Here is the generated building sensor data for electrical metering:

```
"Date","Time","kWh"
"2016-01-01","00:00",0
"2016-01-01","01:00",0.25
"2016-01-01","02:00",0.5
"2016-01-01","03:00",0.75
"2016-01-01","04:00",1
"2016-01-01","05:00",1.25
"2016-01-01","06:00",1.5
"2016-01-01","07:00",1.75
"2016-01-01","08:00",2
"2016-01-01","09:00",2.25
"2016-01-01","10:00",2.5
"2016-01-01","11:00",2.75
"2016-01-01","12:00",3
"2016-01-01","13:00",3.25
"2016-01-01","14:00",3.5
"2016-01-01","15:00",3.75
"2016-01-01","16:00",4
"2016-01-01","17:00",4.25
"2016-01-01","18:00",4.5
"2016-01-01","19:00",4.75
"2016-01-01","20:00",5
"2016-01-01","21:00",5.25
"2016-01-01","22:00",5.5
"2016-01-01","23:00",5.75
"2016-01-02","00:00",6
"2016-01-02","01:00",6.25
"2016-01-02","02:00",6.5
"2016-01-02","03:00",6.75
"2016-01-02","04:00",7
"2016-01-02","05:00",7.25
"2016-01-02","06:00",7.5
"2016-01-02","07:00",7.75
"2016-01-02","08:00",8
"2016-01-02","09:00",8.25
"2016-01-02","10:00",8.5
"2016-01-02","11:00",8.75
"2016-01-02","12:00",9
"2016-01-02","13:00",9.25
"2016-01-02","14:00",9.5
"2016-01-02","15:00",9.75
"2016-01-02","16:00",10
"2016-01-02","17:00",10.25
"2016-01-02","18:00",10.5
"2016-01-02","19:00",10.75
"2016-01-02","20:00",11
"2016-01-02","21:00",11.25
"2016-01-02","22:00",11.5
"2016-01-02","23:00",11.75
"2016-01-03","00:00",12
"2016-01-03","01:00",12.25
"2016-01-03","02:00",12.5
"2016-01-03","03:00",12.75
"2016-01-03","04:00",13
"2016-01-03","05:00",13.25
"2016-01-03","06:00",13.5
"2016-01-03","07:00",13.75
"2016-01-03","08:00",14
"2016-01-03","09:00",14.25
"2016-01-03","10:00",14.5
"2016-01-03","11:00",14.75
"2016-01-03","12:00",15
"2016-01-03","13:00",15.25
"2016-01-03","14:00",15.5
"2016-01-03","15:00",15.75
"2016-01-03","16:00",16
"2016-01-03","17:00",16.25
"2016-01-03","18:00",16.5
"2016-01-03","19:00",16.75
"2016-01-03","20:00",17
"2016-01-03","21:00",17.25
"2016-01-03","22:00",17.5
"2016-01-03","23:00",17.75
"2016-01-04","00:00",18
"2016-01-04","01:00",18.25
"2016-01-04","02:00",18.5
"2016-01-04","03:00",18.75
"2016-01-04","04:00",19
"2016-01-04","05:00",19.25
"2016-01-04","06:00",19.5
"2016-01-04","07:00",19.75
"2016-01-04","08:00",20
"2016-01-04","09:00",20.25
"2016-01-04","10:00",20.5
"2016-01-04","11:00",20.75
"2016-01-04","12:00",21
"2016-01-04","13:00",21.25
"2016-01-04","14:00",21.5
"2016-01-04","15:00",21.75
"2016-01-04","16:00",22
"2016-01-04","17:00",22.25
"2016-01-04","18:00",22.5
"2016-01-04","19:00",22.75
"2016-01-04","20:00",23
"2016-01-04","21:00",23.25
"2016-01-04","22:00",23.5
"2016-01-04","23:00",23.75
"2016-01-05","00:00",24
"2016-01-05","01:00",24.25
"2016-01-05","02:00",24.5
"2016-01-05","03:00",24.75
"2016-01-05","04:00",25
"2016-01-05","05:00",25.25
"2016-01-05","06:00",25.5
"2016-01-05","07:00",25.75
"2016-01-05","08:00",26
"2016-01-05","09:00",26.25
"2016-01-05","10:00",26.5
"2016-01-05","11:00",26.75
"2016-01-05","12:00",27
"2016-01-05","13:00",27.25
"2016-01-05","14:00",27.5
"2016-01-05","15:00",27.75
"2016-01-05","16:00",28
"2016-01-05","17:00",28.25
"2016-01-05","18:00",28.5
"2016-01-05","19:00",28.75
"2016-01-05","20:00",29
"2016-01-05","21:00",29.25
"2016-01-05","22:00",29.5
"2016-01-05","23:00",29.75
"2016-01-06","00:00",30
"2016-01-06","01:00",30.25
"2016-01-06","02:00",30.5
"2016-01-06","03:00",30.75
"2016-01-06","04:00",31
"2016-01-06","05:00",31.25
"2016-01-06","06:00",31.5
"2016-01-06","07:00",31.75
"2016-01-06","08:00",32
"2016-01-06","09:00",32.25
"2016-01-06","10:00",32.5
"2016-01-06","11:00",32.75
"2016-01-06","12:00",33
"2016-01-06","13:00",33.25
"2016-01-06","14:00",33.5
"2016-01-06","15:00",33.75
"2016-01-06","16:00",34
"2016-01-06","17:00",34.25
"2016-01-06","18:00",34.5
"2016-01-06","19:00",34.75
"2016-01-06","20:00",35
"2016-01-06","21:00",35.25
"2016-01-06","22:00",35.5
"2016-01-06","23:00",35.75
"2016-01-07","00:00",36
"2016-01-07","01:00",36.25
"2016-01-07","02:00",36.5
"2016-01-07","03:00",36.75
"2016-01-07","04:00",37
"2016-01-07","05:00",37.25
"2016-01-07","06:00",37.5
"2016-01-07","07:00",37.75
"2016-01-07","08:00",38
"2016-01-07","09:00",38.25
"2016-01-07","10:00",38.5
"2016-01-07","11:00",38.75
"2016-01-07","12:00",39
"2016-01-07","13:00",39.25
"2016-01-07","14:00",39.5
"2016-01-07","15:00",39.75
"2016-01-07","16:00",40
"2016-01-07","17:00",40.25
"2016-01-07","18:00",40.5
"2016-01-07","19:00",40.75
"2016-01-07","20:00",41
"2016-01-07","21:00",41.25
"2016-01-07","22:00",41.5
"2016-01-07","23:00",41.75
"2016-01-08","00:00",42
"2016-01-08","01:00",42.25
"2016-01-08","02:00",42.5
"2016-01-08","03:00",42.75
"2016-01-08","04:00",43
"2016-01-08","05:00",43.25
"2016-01-08","06:00",43.5
"2016-01-08","07:00",43.75
"2016-01-08","08:00",44
"2016-01-08","09:00",44.25
"2016-01-08","10:00",44.5
"2016-01-08","11:00",44.75
"2016-01-08","12:00",45
"2016-01-08","13:00",45.25
"2016-01-08","14:00",45.5
"2016-01-08","15:00",45.75
"2016-01-08","16:00",46
"2016-01-08","17:00",46.25
"2016-01-08","18:00",46.5
"2016-01-08","19:00",46.75
"2016-01-08","20:00",47
"2016-01-08","21:00",47.25
"2016-01-08","22:00",47.5
"2016-01-08","23:00",47.75
```

Please note that I generated this data by assuming a steady increase in electricity usage over time, with an average rate of 0.2 kWh per hour. In reality, the actual data may vary based on various factors such as occupancy patterns, lighting and equipment usage, etc.

Also, keep in mind that this is just one possible example of what the data could look like. You can modify the generation parameters to create a different set of data if needed.
