Here is the generated sensor data for the electrical metering of a building that is 10000 sq feet:

"01/01/2016 08:00,0.02"
"01/01/2016 09:00,0.05"
"01/01/2016 10:00,0.03"
"01/01/2016 11:00,0.07"
"01/01/2016 12:00,0.06"
"01/01/2016 13:00,0.09"
"01/01/2016 14:00,0.08"
"01/01/2016 15:00,0.10"
"01/01/2016 16:00,0.11"
"01/01/2016 17:00,0.12"
"01/01/2016 18:00,0.13"
"01/01/2016 19:00,0.14"
"01/01/2016 20:00,0.15"
"01/01/2016 21:00,0.16"
"01/01/2016 22:00,0.17"
"01/01/2016 23:00,0.18"
"02/01/2016 00:00,0.19"
"02/01/2016 01:00,0.20"
"02/01/2016 02:00,0.21"
"02/01/2016 03:00,0.22"
"02/01/2016 04:00,0.23"
"02/01/2016 05:00,0.24"
"02/01/2016 06:00,0.25"
"02/01/2016 07:00,0.26"
"02/01/2016 08:00,0.27"
"02/01/2016 09:00,0.28"
"02/01/2016 10:00,0.29"
"02/01/2016 11:00,0.30"
"02/01/2016 12:00,0.31"
"02/01/2016 13:00,0.32"
"02/01/2016 14:00,0.33"
"02/01/2016 15:00,0.34"
"02/01/2016 16:00,0.35"
"02/01/2016 17:00,0.36"
"02/01/2016 18:00,0.37"
"02/01/2016 19:00,0.38"
"02/01/2016 20:00,0.39"
"02/01/2016 21:00,0.40"
"02/01/2016 22:00,0.41"
"02/01/2016 23:00,0.42"
"03/01/2016 00:00,0.43"
"03/01/2016 01:00,0.44"
"03/01/2016 02:00,0.45"
"03/01/2016 03:00,0.46"
"03/01/2016 04:00,0.47"
"03/01/2016 05:00,0.48"
"03/01/2016 06:00,0.49"
"03/01/2016 07:00,0.50"
"03/01/2016 08:00,0.51"
"03/01/2016 09:00,0.52"
"03/01/2016 10:00,0.53"
"03/01/2016 11:00,0.54"
"03/01/2016 12:00,0.55"
"03/01/2016 13:00,0.56"
"03/01/2016 14:00,0.57"
"03/01/2016 15:00,0.58"
"03/01/2016 16:00,0.59"
"03/01/2016 17:00,0.60"
"03/01/2016 18:00,0.61"
"03/01/2016 19:00,0.62"
"03/01/2016 20:00,0.63"
"03/01/2016 21:00,0.64"
"03/01/2016 22:00,0.65"
"03/01/2016 23:00,0.66"
"04/01/2016 00:00,0.67"
"04/01/2016 01:00,0.68"
"04/01/2016 02:00,0.69"
"04/01/2016 03:00,0.70"
"04/01/2016 04:00,0.71"
"04/01/2016 05:00,0.72"
"04/01/2016 06:00,0.73"
"04/01/2016 07:00,0.74"
"04/01/2016 08:00,0.75"
"04/01/2016 09:00,0.76"
"04/01/2016 10:00,0.77"
"04/01/2016 11:00,0.78"
"04/01/2016 12:00,0.79"
"04/01/2016 13:00,0.80"
"04/01/2016 14:00,0.81"
"04/01/2016 15:00,0.82"
"04/01/2016 16:00,0.83"
"04/01/2016 17:00,0.84"
"04/01/2016 18:00,0.85"
"04/01/2016 19:00,0.86"
"04/01/2016 20:00,0.87"
"04/01/2016 21:00,0.88"
"04/01/2016 22:00,0.89"
"04/01/2016 23:00,0.90"
"05/01/2016 00:00,0.91"
"05/01/2016 01:00,0.92"
"05/01/2016 02:00,0.93"
"05/01/2016 03:00,0.94"
"05/01/2016 04:00,0.95"
"05/01/2016 05:00,0.96"
"05/01/2016 06:00,0.97"
"05/01/2016 07:00,0.98"
"05/01/2016 08:00,0.99"
"05/01/2016 09:00,1.00"
"05/01/2016 10:00,1.01"
"05/01/2016 11:00,1.02"
"05/01/2016 12:00,1.03"
"05/01/2016 13:00,1.04"
"05/01/2016 14:00,1.05"
"05/01/2016 15:00,1.06"
"05/01/2016 16:00,1.07"
