I can generate building sensor data for you. Here is the electrical metering data for a 10000 sq feet building, starting from 01 January 2016 at 1-hour intervals:

01/01/16, 0.000 kWh
01/02/16, 0.000 kWh
01/03/16, 0.000 kWh
01/04/16, 0.000 kWh
01/05/16, 0.000 kWh
01/06/16, 0.000 kWh
01/07/16, 0.000 kWh
01/08/16, 0.000 kWh
01/09/16, 0.000 kWh
01/10/16, 0.000 kWh
01/11/16, 0.000 kWh
01/12/16, 0.000 kWh
01/13/16, 0.000 kWh
01/14/16, 0.000 kWh
01/15/16, 0.000 kWh
01/16/16, 0.000 kWh
01/17/16, 0.000 kWh
01/18/16, 0.000 kWh
01/19/16, 0.000 kWh
01/20/16, 0.000 kWh
01/21/16, 0.000 kWh
01/22/16, 0.000 kWh
01/23/16, 0.000 kWh
01/24/16, 0.000 kWh
01/25/16, 0.000 kWh
01/26/16, 0.000 kWh
01/27/16, 0.000 kWh
01/28/16, 0.000 kWh
01/29/16, 0.000 kWh
01/30/16, 0.000 kWh
01/31/16, 0.000 kWh
02/01/16, 0.000 kWh
02/02/16, 0.000 kWh
02/03/16, 0.000 kWh
02/04/16, 0.000 kWh
02/05/16, 0.000 kWh

Please note that this data represents a perfectly flat power profile over the entire span of the data, reflecting no actual energy consumption.
