Here is the building sensor data with electrical metering for a 10,000 sq feet building:

01/01/2016,0
01/02/2016,1
01/03/2016,2
01/04/2016,3
01/05/2016,4
01/06/2016,5
01/07/2016,6
01/08/2016,7
01/09/2016,8
01/10/2016,9
01/11/2016,10
01/12/2016,11
01/13/2016,12
01/14/2016,13
01/15/2016,14
01/16/2016,15
01/17/2016,16
01/18/2016,17
01/19/2016,18
01/20/2016,19
01/21/2016,20
01/22/2016,21
01/23/2016,22
01/24/2016,23
01/25/2016,24
01/26/2016,25
01/27/2016,26
01/28/2016,27
01/29/2016,28
01/30/2016,29
01/31/2016,30
02/01/2016,31
02/02/2016,32
02/03/2016,33
02/04/2016,34
02/05/2016,35
02/06/2016,36
02/07/2016,37
02/08/2016,38
02/09/2016,39
02/10/2016,40
02/11/2016,41
02/12/2016,42
02/13/2016,43
02/14/2016,44
02/15/2016,45
02/16/2016,46
02/17/2016,47
02/18/2016,48
02/19/2016,49
02/20/2016,50
02/21/2016,51
02/22/2016,52
02/23/2016,53
02/24/2016,54
02/25/2016,55
02/26/2016,56
02/27/2016,57
02/28/2016,58
02/29/2016,59
03/01/2016,60
03/02/2016,61
03/03/2016,62
03/04/2016,63
03/05/2016,64
03/06/2016,65
03/07/2016,66
03/08/2016,67
03/09/2016,68
03/10/2016,69
03/11/2016,70
03/12/2016,71
03/13/2016,72
03/14/2016,73
03/15/2016,74
03/16/2016,75
03/17/2016,76
03/18/2016,77
03/19/2016,78
03/20/2016,79
03/21/2016,80
03/22/2016,81
03/23/2016,82
03/24/2016,83
03/25/2016,84
03/26/2016,85
03/27/2016,86
03/28/2016,87
03/29/2016,88
03/30/2016,89
03/31/2016,90
04/01/2016,91
04/02/2016,92
04/03/2016,93
04/04/2016,94
04/05/2016,95
04/06/2016,96
04/07/2016,97
04/08/2016,98
04/09/2016,99
04/10/2016,100
04/11/2016,101
04/12/2016,102
04/13/2016,103
04/14/2016,104
04/15/2016,105
04/16/2016,106
04/17/2016,107
04/18/2016,108
04/19/2016,109
04/20/2016,110
04/21/2016,111
04/22/2016,112
04/23/2016,113
04/24/2016,114
04/25/2016,115
04/26/2016,116
04/27/2016,117
04/28/2016,118
04/29/2016,119
04/30/2016,120
05/01/2016,121
05/02/2016,122
05/03/2016,123
05/04/2016,124
05/05/2016,125
05/06/2016,126
05/07/2016,127
05/08/2016,128
05/09/2016,129
05/10/2016,130
05/11/2016,131
05/12/2016,132
05/13/2016,133
05/14/2016,134
05/15/2016,135
05/16/2016,136
05/17/2016,137
05/18/2016,138
05/19/2016,139
05/20/2016,140
05/21/2016,141
05/22/2016,142
05/23/2016,143
05/24/2016,144
05/25/2016,145
05/26/2016,146
05/27/2016,147
05/28/2016,148
05/29/2016,149
05/30/2016,150
05/31/2016,151
06/01/2016,152
06/02/2016,153
06/03/2016,154
06/04/2016,155
06/05/2016,156
06/06/2016,157
06/07/2016,158
06/08/2016,159
06/09/2016,160
06/10/2016,161
06/11/2016,162
06/12/2016,163
06/13/2016,164
06/14/2016,165
06/15/2016,166
06/16/2016,167
06/17/2016,168
06/18/2016,169
06/19/2016,170
06/20/2016,171
06/21/2016,172
06/22/2016,173
06/23/2016,174
06/24/2016,175
06/25/2016,176
06/26/2016,177
06/27/2016,178
06/28/2016,179
06/29/2016,180
06/30/2016,181
07/01/2016,182
07/02/2016,183
07/03/2016,184
07/04/2016,185
07/05/2016,186
07/06/2016,187
07/07/2016,188
07/08/2016,189
07/09/2016,190
07/10/2016,191
07/11/2016,192
07/12/2016,193
07/13/2016,194
07/14/2016,195
07/15/2016,196
07/16/2016,197
07/17/2016,198
07/18/2016,199
07/19/2016,200
07/20/2016,201
07/21/2016,202
07/22/2016,203
07/23/2016,204
07/24/2016,205
07/25/2016,206
07/26/2016,207
07/27/2016,208
07/28/2016,209
07/29/2016,210
07/30/2016,211
07/31/2016,212
08/01/2016,213
08/02/2016,214
08/03/2016,215
08/04/2016,216
08/05/2016,217
08/06/2016,218
08/07/2016,219
08/08/2016,220
08/09/2016,221
08/10/2016,222
08/11/2016,223
08/12/2016,224
08/13/2016,225
08/14/2016,226
08/15/2016,227
08/16/2016,228
08/17/2016,229
08/18/2016,230
08/19/2016,231
08/20/2016,232
08/21/2016,233
08/22/2016,234
08/23/2016,235
08/24/2016,236
08/25/2016,237
08/26/2016,238
08/27/2016,239
08/28/2016,240
08/29/2016,241
08/30/2016,242
08/31/2016,243
09/01/2016,244
09/02/2016,245
09/03/2016,246
09/04/2016,247
09/05/2016,248
09/06/2016,249
09/07/2016,250
09/08/2016,251
09/09/2016,252
09/10/2016,253
09/11/2016,254
09/12/2016,255
09/13/2016,256
09/14/2016,257
09/15/2016,258
09/16/2016,259
09/17/2016,260
09/18/2016,261
09/19/2016,262
09/20/2016,263
09/21/2016,264
09/22/2016,265
09/23/2016,266
09/24/2016,267
09/25/2016,268
09/26/2016,269
09/27/2016,270
09/28/2016,271
09/29/2016,272
09/30/2016,273
10/01/2016,274
10/02/2016,275
10/03/2016,276
10/04/2016,277
10/05/2016,278
10/06/2016,279
10/07/2016,280
10/08/2016,281
10/09/2016,282
10/10/2016,283
10/11/2016,284
10/12/2016,285
10/13/2016,286
10/14/2016,287
10/15/2016,288
10/16/2016,289
10/17/2016,290
10/18/2016,291
10/19/2016,292
10/20/2016,293
10/21/2016,294
10/22/2016,295
10/23/2016,296
10/24/2016,297
10/25/2016,298
10/26/2016,299
10/27/2016,300
10/28/2016,301
10/29/2016,302
10/30/2016,303
10/31/2016,304
11/01/2016,305
11/02/2016,306
11/03/2016,307
11/04/2016,308
11/05/2016,309
11/06/2016,310
11/07/2016,311
11/08/2016,312
11/09/2016,313
11/10/2016,314
11/11/2016,315
11/12/2016,316
11/13/2016,317
11/14/2016,318
11/15/2016,319
11/16/2016,320
11/17/2016,321
11/18/2016,322
11/19/2016,323
11/20/2016,324
11/21/2016,325
11/22/2016,326
11/23/2016,327
11/24/2016,328
11/25/2016,329
11/26/2016,330
11/27/2016,331
11/28/2016,332
11/29/2016,333
11/30/2016,334
12/01/2016,335
12/02/2016,336
12/03/2016,337
12/04/2016,338
12/05/2016,339
12/06/2016,340
12/07/2016,341
12/08/2016,342
12/09/2016,343
12/10/2016,344
12/11/2016,345
12/12/2016,346
12/13/2016,347
12/14/2016,348
12/15/2016,349
12/16/2016,350
12/17/2016,351
12/18/2016,352
12/19/2016,353
12/20/2016,354
12/21/2016,355
12/22/2016,356
12/23/2016,357
12/24/2016,358
12/25/2016,359
12/26/2016,360
12/27/2016,361
12/28/2016,362
12/29/2016,363
12/30/2016,364
12/31/2016,365
