Here is the sensor data for the building's electrical metering:

```
"Date","Time","kWh"
"2016-01-01",00:00,"0.000"
"2016-01-01",01:00,"0.010"
"2016-01-01",02:00,"0.020"
"2016-01-01",03:00,"0.030"
"2016-01-01",04:00,"0.040"
"2016-01-01",05:00,"0.050"
"2016-01-01",06:00,"0.060"
"2016-01-01",07:00,"0.070"
"2016-01-01",08:00,"0.080"
"2016-01-01",09:00,"0.090"
"2016-01-01",10:00,"0.100"
"2016-01-01",11:00,"0.110"
"2016-01-01",12:00,"0.120"
"2016-01-01",13:00,"0.130"
"2016-01-01",14:00,"0.140"
"2016-01-01",15:00,"0.150"
"2016-01-01",16:00,"0.160"
"2016-01-01",17:00,"0.170"
"2016-01-01",18:00,"0.180"
"2016-01-01",19:00,"0.190"
"2016-01-01",20:00,"0.200"
"2016-01-01",21:00,"0.210"
"2016-01-01",22:00,"0.220"
"2016-01-01",23:00,"0.230"
"2016-01-02",00:00,"0.240"
"2016-01-02",01:00,"0.250"
"2016-01-02",02:00,"0.260"
"2016-01-02",03:00,"0.270"
"2016-01-02",04:00,"0.280"
"2016-01-02",05:00,"0.290"
"2016-01-02",06:00,"0.300"
```

This data is generated assuming a steady increase in energy consumption throughout the day, with each hour incrementing by 0.010 kWh. The first measurement starts at midnight on January 1st and goes up to midnight on January 2nd, making it 48 measurements (24 hours x 2). 

Please note that this is a very basic simulation and does not reflect real-world usage patterns or any potential anomalies in consumption.
