Here is the generated sensor data for the electrical metering in the building:

"01/01/16 00:00,0.016"
"01/01/16 01:00,0.026"
"01/01/16 02:00,0.038"
"01/01/16 03:00,0.046"
"01/01/16 04:00,0.056"
"01/01/16 05:00,0.068"
"01/01/16 06:00,0.082"
"01/01/16 07:00,0.092"
"01/01/16 08:00,0.102"
"01/01/16 09:00,0.116"
"01/01/16 10:00,0.134"
"01/01/16 11:00,0.146"
"01/01/16 12:00,0.162"
"01/01/16 13:00,0.176"
"01/01/16 14:00,0.194"
"01/01/16 15:00,0.206"
"01/01/16 16:00,0.224"
"01/01/16 17:00,0.236"
"01/01/16 18:00,0.254"
"01/01/16 19:00,0.266"
"01/01/16 20:00,0.286"
"01/01/16 21:00,0.298"
"01/01/16 22:00,0.318"
"01/01/16 23:00,0.32"
"02/01/16 00:00,0.326"
"02/01/16 01:00,0.334"
"02/01/16 02:00,0.344"
"02/01/16 03:00,0.354"
"02/01/16 04:00,0.366"
"02/01/16 05:00,0.378"
"02/01/16 06:00,0.394"
"02/01/16 07:00,0.406"
"02/01/16 08:00,0.42"
"02/01/16 09:00,0.434"
"02/01/16 10:00,0.46"
"02/01/16 11:00,0.488"
"02/01/16 12:00,0.512"
"02/01/16 13:00,0.538"
"02/01/16 14:00,0.568"
"02/01/16 15:00,0.602"
"02/01/16 16:00,0.64"
"02/01/16 17:00,0.682"
"02/01/16 18:00,0.728"
"02/01/16 19:00,0.778"
"02/01/16 20:00,0.832"
"02/01/16 21:00,0.892"
"02/01/16 22:00,0.958"
"02/01/16 23:00,1.028"
"03/01/16 00:00,1.102"
"03/01/16 01:00,1.18"
"03/01/16 02:00,1.262"
"03/01/16 03:00,1.348"
"03/01/16 04:00,1.438"
"03/01/16 05:00,1.532"
"03/01/16 06:00,1.63"
"03/01/16 07:00,1.732"
"03/01/16 08:00,1.838"
"03/01/16 09:00,2.046"
"03/01/16 10:00,2.268"
"03/01/16 11:00,2.504"
"03/01/16 12:00,2.756"
"03/01/16 13:00,3.036"
"03/01/16 14:00,3.36"
"03/01/16 15:00,3.708"
"03/01/16 16:00,4.082"
"03/01/16 17:00,4.486"
"03/01/16 18:00,4.924"
"03/01/16 19:00,5.404"
"03/01/16 20:00,5.926"
"03/01/16 21:00,6.476"
"03/01/16 22:00,7.062"
"03/01/16 23:00,7.674"
"04/01/16 00:00,8.316"
"04/01/16 01:00,9.02"
"04/01/16 02:00,9.74"
"04/01/16 03:00,10.498"
"04/01/16 04:00,11.282"
"04/01/16 05:00,12.112"
"04/01/16 06:00,13.014"
"04/01/16 07:00,14.016"
"04/01/16 08:00,15.058"
"04/01/16 09:00,16.152"
"04/01/16 10:00,17.322"
"04/01/16 11:00,18.536"
"04/01/16 12:00,19.814"
"04/01/16 13:00,21.156"
"04/01/16 14:00,22.564"
"04/01/16 15:00,24.034"
"04/01/16 16:00,25.58"
"04/01/16 17:00,27.172"
"04/01/16 18:00,29.02"
"04/01/16 19:00,31.032"
"04/01/16 20:00,33.204"
"04/01/16 21:00,35.54"
"04/01/16 22:00,38.028"
"04/01/16 23:00,40.56"
"05/01/16 00:00,43.166"
"05/01/16 01:00,45.88"
"05/01/16 02:00,48.678"
"05/01/16 03:00,51.54"
"05/01/16 04:00,54.448"
"05/01/16 05:00,57.42"
"05/01/16 06:00,60.528"
"05/01/16 07:00,63.72"
"05/01/16 08:00,67.038"
"05/01/16 09:00,70.418"
"05/01/16 10:00,73.924"
"05/01/16 11:00,77.538"
"05/01/16 12:00,81.246"
"05/01/16 13:00,85.036"
"05/01/16 14:00,88.928"
"05/01/16 15:00,92.924"
"05/01/16 16:00,97.06"
"05/01/16 17:00,101.32"
"05/01/16 18:00,105.64"
"05/01/16 19:00,110.026"
"05/01/16 20:00,114.48"
"05/01/16 21:00,119.02"
"05/01/16 22:00,123.674"
"05/01/16 23:00,128.44"

Note: The electrical measurement in kWh is increasing over time as it's a continuous process.

This data spans from January 1st to January 5th with 24-hour intervals (from 00:00 to 23:00).
