Here is the generated sensor data for the building electrical metering:

```
"Date","Time","kWh"
"2016-01-01",00:00,0
"2016-01-01",01:00,3
"2016-01-01",02:00,4
"2016-01-01",03:00,5
"2016-01-01",04:00,6
"2016-01-01",05:00,7
"2016-01-01",06:00,8
"2016-01-01",07:00,9
"2016-01-01",08:00,10
"2016-01-01",09:00,11
"2016-01-01",10:00,12
"2016-01-01",11:00,13
"2016-01-01",12:00,14
"2016-01-01",13:00,15
"2016-01-01",14:00,16
"2016-01-01",15:00,17
"2016-01-01",16:00,18
"2016-01-01",17:00,19
"2016-01-01",18:00,20
"2016-01-01",19:00,21
"2016-01-01",20:00,22
"2016-01-01",21:00,23
"2016-01-01",22:00,24
"2016-01-01",23:00,25
"2016-01-02",00:00,26
"2016-01-02",01:00,27
"2016-01-02",02:00,28
"2016-01-02",03:00,29
"2016-01-02",04:00,30
"2016-01-02",05:00,31
"2016-01-02",06:00,32
"2016-01-02",07:00,33
"2016-01-02",08:00,34
"2016-01-02",09:00,35
"2016-01-02",10:00,36
"2016-01-02",11:00,37
"2016-01-02",12:00,38
"2016-01-02",13:00,39
"2016-01-02",14:00,40
"2016-01-02",15:00,41
"2016-01-02",16:00,42
"2016-01-02",17:00,43
"2016-01-02",18:00,44
"2016-01-02",19:00,45
"2016-01-02",20:00,46
"2016-01-02",21:00,47
"2016-01-02",22:00,48
"2016-01-02",23:00,49
"2016-01-03",00:00,50
"2016-01-03",01:00,51
"2016-01-03",02:00,52
"2016-01-03",03:00,53
"2016-01-03",04:00,54
"2016-01-03",05:00,55
"2016-01-03",06:00,56
"2016-01-03",07:00,57
"2016-01-03",08:00,58
"2016-01-03",09:00,59
"2016-01-03",10:00,60
"2016-01-03",11:00,61
"2016-01-03",12:00,62
"2016-01-03",13:00,63
"2016-01-03",14:00,64
"2016-01-03",15:00,65
"2016-01-03",16:00,66
"2016-01-03",17:00,67
"2016-01-03",18:00,68
"2016-01-03",19:00,69
"2016-01-03",20:00,70
"2016-01-03",21:00,71
"2016-01-03",22:00,72
"2016-01-03",23:00,73
"2016-01-04",00:00,74
"2016-01-04",01:00,75
"2016-01-04",02:00,76
"2016-01-04",03:00,77
"2016-01-04",04:00,78
"2016-01-04",05:00,79
"2016-01-04",06:00,80
"2016-01-04",07:00,81
"2016-01-04",08:00,82
"2016-01-04",09:00,83
"2016-01-04",10:00,84
"2016-01-04",11:00,85
"2016-01-04",12:00,86
"2016-01-04",13:00,87
"2016-01-04",14:00,88
"2016-01-04",15:00,89
"2016-01-04",16:00,90
"2016-01-04",17:00,91
"2016-01-04",18:00,92
"2016-01-04",19:00,93
"2016-01-04",20:00,94
"2016-01-04",21:00,95
"2016-01-04",22:00,96
"2016-01-04",23:00,97
"2016-01-05",00:00,98
"2016-01-05",01:00,99
"2016-01-05",02:00,100
"2016-01-05",03:00,101
"2016-01-05",04:00,102
"2016-01-05",05:00,103
"2016-01-05",06:00,104
"2016-01-05",07:00,105
"2016-01-05",08:00,106
"2016-01-05",09:00,107
"2016-01-05",10:00,108
"2016-01-05",11:00,109
"2016-01-05",12:00,110
"2016-01-05",13:00,111
