timestamp,meter_reading_actual,meter_reading_llm
2016-01-01 00:00:00,98.0,233.5
2016-01-01 01:00:00,98.0,225.2
2016-01-01 02:00:00,98.0,219.8
2016-01-01 03:00:00,97.0,215.4
2016-01-01 04:00:00,98.0,210.7
2016-01-01 05:00:00,97.0,208.9
2016-01-01 06:00:00,97.0,212.3
2016-01-01 07:00:00,97.0,221.5
2016-01-01 08:00:00,97.0,237.0
2016-01-01 09:00:00,97.0,250.3
2016-01-01 10:00:00,98.0,245.6
2016-01-01 11:00:00,99.0,240.1
2016-01-01 12:00:00,99.0,235.0
2016-01-01 13:00:00,100.0,229.7
2016-01-01 14:00:00,99.0,224.6
2016-01-01 15:00:00,101.0,221.0
2016-01-01 16:00:00,100.0,218.4
2016-01-01 17:00:00,101.0,220.8
2016-01-01 18:00:00,100.0,227.6
2016-01-01 19:00:00,99.0,235.9
2016-01-01 20:00:00,100.0,242.1
2016-01-01 21:00:00,99.0,247.3
2016-01-01 22:00:00,98.0,248.9
2016-01-01 23:00:00,99.0,246.4
2016-01-02 00:00:00,99.0,244.2
2016-01-02 01:00:00,99.0,242.0
2016-01-02 02:00:00,98.0,239.7
2016-01-02 03:00:00,99.0,236.5
2016-01-02 04:00:00,98.0,233.1
2016-01-02 05:00:00,97.0,229.8
2016-01-02 06:00:00,99.0,226.5
2016-01-02 07:00:00,98.0,223.4
2016-01-02 08:00:00,97.0,220.7
2016-01-02 09:00:00,98.0,218.9
2016-01-02 10:00:00,99.0,219.2
2016-01-02 11:00:00,98.0,221.8
2016-01-02 12:00:00,99.0,225.5
2016-01-02 13:00:00,99.0,230.1
2016-01-02 14:00:00,100.0,235.3
2016-01-02 15:00:00,103.0,240.9
2016-01-02 16:00:00,104.0,246.7
2016-01-02 17:00:00,101.0,252.3
2016-01-02 18:00:00,102.0,257.1
2016-01-02 19:00:00,102.0,260.5
2016-01-02 20:00:00,102.0,262.8
2016-01-02 21:00:00,102.0,263.5
2016-01-02 22:00:00,101.0,261.9
2016-01-02 23:00:00,100.0,258.7
2016-01-03 00:00:00,100.0,255.0
2016-01-03 01:00:00,99.0,252.4
2016-01-03 02:00:00,98.0,249.1
2016-01-03 03:00:00,98.0,245.7
2016-01-03 04:00:00,98.0,242.3
2016-01-03 05:00:00,98.0,239.2
2016-01-03 06:00:00,98.0,236.8
2016-01-03 07:00:00,98.0,234.6
2016-01-03 08:00:00,97.0,232.9
2016-01-03 09:00:00,98.0,231.5
2016-01-03 10:00:00,99.0,230.7
2016-01-03 11:00:00,98.0,231.0
2016-01-03 12:00:00,99.0,232.8
2016-01-03 13:00:00,101.0,234.5
2016-01-03 14:00:00,100.0,236.2
2016-01-03 15:00:00,101.0,237.9
2016-01-03 16:00:00,102.0,239.5
2016-01-03 17:00:00,101.0,241.0
2016-01-03 18:00:00,102.0,242.4
2016-01-03 19:00:00,102.0,243.7
2016-01-03 20:00:00,102.0,244.8
2016-01-03 21:00:00,101.0,245.7
2016-01-03 22:00:00,101.0,246.5
2016-01-03 23:00:00,100.0,247.0
2016-01-04 00:00:00,100.0,250.1
2016-01-04 01:00:00,99.0,248.0
2016-01-04 02:00:00,99.0,245.5
2016-01-04 03:00:00,98.0,242.8
2016-01-04 04:00:00,98.0,240.0
2016-01-04 05:00:00,98.0,237.2
2016-01-04 06:00:00,98.0,234.5
2016-01-04 07:00:00,98.0,232.0
2016-01-04 08:00:00,100.0,229.6
2016-01-04 09:00:00,103.0,227.5
2016-01-04 10:00:00,110.0,226.0
2016-01-04 11:00:00,115.0,225.4
2016-01-04 12:00:00,119.0,225.8
2016-01-04 13:00:00,121.0,227.1
2016-01-04 14:00:00,119.0,229.4
2016-01-04 15:00:00,121.0,232.0
2016-01-04 16:00:00,120.0,235.0
2016-01-04 17:00:00,120.0,238.4
2016-01-04 18:00:00,116.0,241.8
2016-01-04 19:00:00,110.0,245.1
2016-01-04 20:00:00,108.0,248.3
2016-01-04 21:00:00,107.0,250.8
2016-01-04 22:00:00,104.0,252.4
2016-01-04 23:00:00,103.0,253.0
2016-01-05 00:00:00,102.0,260.3
2016-01-05 01:00:00,101.0,257.6
2016-01-05 02:00:00,100.0,254.4
2016-01-05 03:00:00,100.0,250.9
2016-01-05 04:00:00,100.0,247.5
2016-01-05 05:00:00,100.0,244.2
2016-01-05 06:00:00,99.0,241.0
2016-01-05 07:00:00,100.0,238.0
2016-01-05 08:00:00,103.0,235.4
2016-01-05 09:00:00,106.0,233.1
2016-01-05 10:00:00,114.0,231.5
2016-01-05 11:00:00,118.0,231.0
2016-01-05 12:00:00,118.0,231.6
2016-01-05 13:00:00,120.0,233.3
2016-01-05 14:00:00,123.0,236.1
2016-01-05 15:00:00,125.0,240.0
2016-01-05 16:00:00,128.0,244.9
2016-01-05 17:00:00,124.0,250.8
2016-01-05 18:00:00,119.0,257.7
2016-01-05 19:00:00,113.0,265.5
2016-01-05 20:00:00,111.0,274.0
2016-01-05 21:00:00,110.0,282.8
2016-01-05 22:00:00,108.0,291.2
2016-01-05 23:00:00,108.0,299.0
2016-01-06 00:00:00,105.0,220.0
2016-01-06 01:00:00,104.0,221.5
2016-01-06 02:00:00,103.0,223.0
2016-01-06 03:00:00,104.0,225.0
2016-01-06 04:00:00,102.0,227.5
2016-01-06 05:00:00,104.0,230.5
2016-01-06 06:00:00,102.0,234.0
2016-01-06 07:00:00,104.0,238.0
2016-01-06 08:00:00,103.0,242.5
2016-01-06 09:00:00,108.0,247.5
2016-01-06 10:00:00,117.0,252.5
2016-01-06 11:00:00,124.0,257.0
2016-01-06 12:00:00,125.0,261.0
2016-01-06 13:00:00,125.0,264.5
2016-01-06 14:00:00,125.0,267.0
2016-01-06 15:00:00,127.0,268.5
2016-01-06 16:00:00,125.0,269.0
2016-01-06 17:00:00,123.0,268.0
2016-01-06 18:00:00,121.0,266.0
2016-01-06 19:00:00,117.0,263.0
2016-01-06 20:00:00,115.0,259.0
2016-01-06 21:00:00,111.0,254.0
2016-01-06 22:00:00,110.0,248.0
2016-01-06 23:00:00,109.0,242.0
2016-01-07 00:00:00,109.0,225.0
2016-01-07 01:00:00,109.0,226.0
2016-01-07 02:00:00,108.0,227.5
2016-01-07 03:00:00,107.0,229.5
2016-01-07 04:00:00,107.0,232.0
2016-01-07 05:00:00,105.0,235.0
2016-01-07 06:00:00,105.0,238.5
2016-01-07 07:00:00,105.0,242.5
2016-01-07 08:00:00,108.0,247.0
2016-01-07 09:00:00,110.0,252.0
2016-01-07 10:00:00,119.0,257.0
2016-01-07 11:00:00,126.0,262.0
2016-01-07 12:00:00,125.0,267.0
2016-01-07 13:00:00,128.0,271.5
2016-01-07 14:00:00,128.0,275.0
2016-01-07 15:00:00,128.0,277.0
2016-01-07 16:00:00,125.0,278.0
2016-01-07 17:00:00,125.0,277.5
2016-01-07 18:00:00,123.0,275.5
2016-01-07 19:00:00,122.0,272.0
2016-01-07 20:00:00,117.0,267.5
2016-01-07 21:00:00,112.0,262.0
2016-01-07 22:00:00,112.0,256.0
2016-01-07 23:00:00,110.0,250.0
