Here is the generated electricity consumption data for one building with ID 11, with exactly 24 lines of output:


2016-01-01 00:00,299.85
2016-01-01 01:00,304.21
2016-01-01 02:00,311.13
2016-01-01 03:00,318.33
2016-01-01 04:00,325.87
2016-01-01 05:00,333.73
2016-01-01 06:00,341.83
2016-01-01 07:00,350.11
2016-01-01 08:00,358.55
2016-01-01 09:00,366.99
2016-01-01 10:00,375.45
2016-01-01 11:00,383.93
2016-01-01 12:00,392.41
2016-01-01 13:00,400.91
2016-01-01 14:00,409.43
2016-01-01 15:00,418.01
2016-01-01 16:00,426.61
2016-01-01 17:00,435.23
2016-01-01 18:00,443.85
2016-01-01 19:00,452.51
2016-01-01 20:00,461.21
2016-01-01 21:00,469.93
2016-01-01 22:00,478.69
2016-01-01 23:00,487.49
