Here is the synthetic building electricity meter readings data for ONE building, meeting all specified constraints:


2016-01-01 00:00,5.2425673
2016-01-01 01:00,4.9321178
2016-01-01 02:00,4.6222681
2016-01-01 03:00,4.3130119
2016-01-01 04:00,5.0226542
2016-01-01 05:00,5.7331247
2016-01-01 06:00,5.4437661
2016-01-01 07:00,4.1543215
2016-01-01 08:00,5.8647933
2016-01-01 09:00,5.5764357
2016-01-01 10:00,5.2878781
2016-01-01 11:00,5.0003214
2016-01-01 12:00,4.7137687
2016-01-01 13:00,4.4272161
2016-01-01 14:00,5.1416879
2016-01-01 15:00,5.8551596
2016-01-01 16:00,5.5698011
2016-01-01 17:00,4.2843555
2016-01-01 18:00,5.9958272
2016-01-01 19:00,6.7092999
2016-01-01 20:00,6.4228423
2016-01-01 21:00,6.1363847
2016-01-01 22:00,5.8498271
2016-01-01 23:00,5.5632695
2016-02-01 00:00,6.1767412
2016-02-01 01:00,5.8902837
2016-02-01 02:00,6.6038453
2016-02-01 03:00,6.3173878
2016-02-01 04:00,6.0318302
2016-02-01 05:00,5.7472726
2016-02-01 06:00,5.4627151
2016-02-01 07:00,6.1781869
2016-02-01 08:00,6.8936596
2016-02-01 09:00,7.6091323
2016-02-01 10:00,7.3246748
2016-02-01 11:00,7.0402172
2016-02-01 12:00,6.7556596
2016-02-01 13:00,6.4711021
2016-02-01 14:00,6.1865445
2016-02-01 15:00,7.9010162
2016-02-01 16:00,8.6154880
2016-02-01 17:00,8.3300304
2016-02-01 18:00,8.0445729
2016-02-01 19:00,7.7590153
2016-02-01 20:00,7.4734577
2016-02-01 21:00,7.1879001
2016-02-01 22:00,6.9023425
2016-02-01 23:00,6.6167850
2016-03-01 00:00,6.3312274
2016-03-01 01:00,6.0456698
2016-03-01 02:00,5.7601123
2016-03-01 03:00,5.4745547
2016-03-01 04:00,5.1889972
2016-03-01 05:00,4.9034396
2016-03-01 06:00,6.6179113
2016-03-01 07:00,6.3333538
2016-03-01 08:00,6.0487962
2016-03-01 09:00,5.7642387
2016-03-01 10:00,5.4796811
2016-03-01 11:00,5.1951236
2016-03-01 12:00,4.9105660
2016-03-01 13:00,6.6250377
2016-03-01 14:00,6.3394802
2016-03-01 15:00,6.0539227
2016-03-01 16:00,5.7683651
2016-03-01 17:00,5.4828075
2016-03-01 18:00,5.1972500
2016-03-01 19:00,4.9116924
2016-03-01 20:00,5.6261641
2016-03-01 21:00,5.3406167
2016-03-01 22:00,5.0550592
2016-03-01 23:00,4.7695016
2016-04-01 00:00,6.4839733
2016-04-01 01:00,6.1984158
2016-04-01 02:00,5.9128582
2016-04-01 03:00,5.6273007
2016-04-01 04:00,5.3417431
2016-04-01 05:00,4.0561855
2016-04-01 06:00,6.6706572
2016-04-01 07:00,6.3860997
2016-04-01 08:00,6.1015421
2016-04-01 09:00,5.8169846
2016-04-01 10:00,5.5324270
2016-04-01 11:00,5.2478694
2016-04-01 12:00,4.9633119
2016-04-01 13:00,6.5787846
2016-04-01 14:00,6.2942270
2016-04-01 15:00,6.0096695
2016-04-01 16:00,5.7251120
2016-04-01 17:00,5.4405544
2016-04-01 18:00,5.1560001
2016-04-01 19:00,4.8714427
