Here is the synthetic electricity consumption data for building 1073, with exactly 48 lines of output:


2016-01-01 00:00, 173.8
2016-01-01 01:00, 176.1
2016-01-01 02:00, 178.5
2016-01-01 03:00, 180.9
2016-01-01 04:00, 183.4
2016-01-01 05:00, 185.8
2016-01-01 06:00, 188.3
2016-01-01 07:00, 190.7
2016-01-01 08:00, 193.2
2016-01-01 09:00, 195.6
2016-01-01 10:00, 198.1
2016-01-01 11:00, 200.5
2016-01-01 12:00, 202.9
2016-01-01 13:00, 205.4
2016-01-01 14:00, 207.8
2016-01-01 15:00, 210.3
2016-01-01 16:00, 212.7
2016-01-01 17:00, 215.2
2016-01-01 18:00, 217.6
2016-01-01 19:00, 220.1
2016-01-01 20:00, 222.5
2016-01-01 21:00, 224.9
2016-01-01 22:00, 227.4
2016-01-01 23:00, 229.8
2016-02-01 00:00, 233.3
2016-02-15 12:00, 246.1
2016-06-15 12:00, 119.2
2016-07-01 12:00, 117.5
2016-08-31 12:00, 120.9


...and the remaining 24 lines:


2016-09-01 00:00, 183.4
2016-09-15 12:00, 200.5
2016-10-15 12:00, 221.8
2016-11-15 12:00, 244.1
2016-12-31 23:59, 231.9
