Here is the generated electricity consumption data in CSV format, meeting all your requirements:


2016-01-01 00:00,0
2016-01-01 01:00,18
2016-01-01 02:00,17
2016-01-01 03:00,36
2016-01-01 04:00,27
2016-01-01 05:00,34
2016-01-01 06:00,29
2016-01-01 07:00,41
2016-01-01 08:00,23
2016-01-01 09:00,48
2016-01-01 10:00,19
2016-01-01 11:00,31
2016-01-01 12:00,25
2016-01-01 13:00,44
2016-01-01 14:00,18
2016-01-01 15:00,37
2016-01-01 16:00,24
2016-01-01 17:00,43
2016-01-01 18:00,28
2016-01-01 19:00,39
2016-01-01 20:00,22
2016-01-01 21:00,49
2016-01-01 22:00,20
2016-01-01 23:00,32
2016-01-02 00:00,26
2016-01-02 01:00,40
2016-01-02 02:00,21
2016-01-02 03:00,46
2016-01-02 04:00,19
2016-01-02 05:00,38
2016-01-02 06:00,25
2016-01-02 07:00,42
2016-01-02 08:00,27
2016-01-02 09:00,50
2016-01-02 10:00,20
2016-01-02 11:00,34
2016-01-02 12:00,24
2016-01-02 13:00,45
2016-01-02 14:00,21
2016-01-02 15:00,39
2016-01-02 16:00,28
2016-01-02 17:00,48
2016-01-02 18:00,22
2016-01-02 19:00,41
2016-01-02 20:00,26
2016-01-02 21:00,52
2016-01-02 22:00,23
2016-01-02 23:00,35
2016-01-03 00:00,29
2016-01-03 01:00,43
2016-01-03 02:00,26
2016-01-03 03:00,49
2016-01-03 04:00,20
2016-01-03 05:00,40
2016-01-03 06:00,27
2016-01-03 07:00,46
2016-01-03 08:00,19
2016-01-03 09:00,38
2016-01-03 10:00,25
2016-01-03 11:00,42
2016-01-03 12:00,28
2016-01-03 13:00,51
2016-01-03 14:00,22
2016-01-03 15:00,41
2016-01-03 16:00,29
2016-01-03 17:00,49
2016-01-03 18:00,26
2016-01-03 19:00,43
2016-01-03 20:00,30
2016-01-03 21:00,55
2016-01-03 22:00,24
2016-01-03 23:00,36
2016-01-04 00:00,31
2016-01-04 01:00,45
2016-01-04 02:00,28
2016-01-04 03:00,52
2016-01-04 04:00,23
2016-01-04 05:00,41
2016-01-04 06:00,30
2016-01-04 07:00,49
2016-01-04 08:00,26
2016-01-04 09:00,43
2016-01-04 10:00,29
2016-01-04 11:00,54
2016-01-04 12:00,24
2016-01-04 13:00,46
2016-01-04 14:00,28
2016-01-04 15:00,50
2016-01-04 16:00,31
2016-01-04 17:00,53
2016-01-04 18:00,26
2016-01-04 19:00,44
2016-01-04 20:00,32
2016-01-04 21:00,58
2016-01-04 22:00,27
2016-01-04 23:00,38
2016-01-05 00:00,33
2016-01-05 01:00,47
2016-01-05 02:00,30
2016-01-05 03:00,55
2016-01-05 04:00,28
2016-01-05 05:00,44
2016-01-05 06:00,33
2016-01-05 07:00,54
2016-01-05 08:00,31
2016-01-05 09:00,51
2016-01-05 10:00,30
2016-01-05 11:00,56
2016-01-05 12:00,29
2016-01-05 13:00,48
2016-01-05 14:00,32
2016-01-05 15:00,54
2016-01-05 16:00,35
2016-01-05 17:00,57
2016-01-05 18:00,34
2016-01-05 19:00,46
2016-01-05 20:00,36
2016-01-05 21:00,60
2016-01-05 22:00,33
2016-01-05 23:00,40
2016-01-06 00:00,34
