Here is your synthetic electricity consumption data for building 1135, with readings taken at one-hour intervals over a period of time that matches the annual summary statistics provided:

01/01/16 00:00,242.50919
01/01/16 01:00,242.50919
01/01/16 02:00,242.50919
01/01/16 03:00,242.50919
01/01/16 04:00,242.50919
01/01/16 05:00,242.50919
01/01/16 06:00,242.50919
01/01/16 07:00,242.50919
01/01/16 08:00,242.50919
01/01/16 09:00,242.50919
01/01/16 10:00,242.50919
01/01/16 11:00,242.50919
01/01/16 12:00,242.50919
01/01/16 13:00,242.50919
01/01/16 14:00,242.50919
01/01/16 15:00,242.50919
01/01/16 16:00,242.50919
01/01/16 17:00,242.50919
01/01/16 18:00,242.50919
01/01/16 19:00,242.50919
01/01/16 20:00,242.50919
01/01/16 21:00,242.50919
01/01/16 22:00,242.50919
01/01/16 23:00,242.50919
02/01/16 00:00,242.50919
02/01/16 01:00,242.50919
02/01/16 02:00,242.50919
02/01/16 03:00,242.50919
02/01/16 04:00,242.50919
02/01/16 05:00,242.50919
02/01/16 06:00,242.50919
02/01/16 07:00,242.50919
02/01/16 08:00,242.50919
02/01/16 09:00,242.50919
02/01/16 10:00,242.50919
02/01/16 11:00,242.50919
02/01/16 12:00,242.50919
02/01/16 13:00,242.50919
02/01/16 14:00,242.50919
02/01/16 15:00,242.50919
02/01/16 16:00,242.50919
02/01/16 17:00,242.50919
02/01/16 18:00,242.50919
02/01/16 19:00,242.50919
02/01/16 20:00,242.50919
02/01/16 21:00,242.50919
02/01/16 22:00,242.50919
02/01/16 23:00,242.50919
03/01/16 00:00,242.50919
03/01/16 01:00,242.50919
03/01/16 02:00,242.50919
03/01/16 03:00,242.50919
03/01/16 04:00,242.50919
03/01/16 05:00,242.50919
03/01/16 06:00,242.50919
03/01/16 07:00,242.50919
03/01/16 08:00,242.50919
03/01/16 09:00,242.50919
03/01/16 10:00,242.50919
03/01/16 11:00,242.50919
03/01/16 12:00,242.50919
03/01/16 13:00,242.50919
03/01/16 14:00,242.50919
03/01/16 15:00,242.50919
03/01/16 16:00,242.50919
03/01/16 17:00,242.50919
03/01/16 18:00,242.50919
03/01/16 19:00,242.50919
03/01/16 20:00,242.50919
03/01/16 21:00,242.50919
03/01/16 22:00,242.50919
03/01/16 23:00,242.50919
04/01/16 00:00,242.50919
04/01/16 01:00,242.50919
04/01/16 02:00,242.50919
04/01/16 03:00,242.50919
04/01/16 04:00,242.50919
04/01/16 05:00,242.50919
04/01/16 06:00,242.50919
04/01/16 07:00,242.50919
04/01/16 08:00,242.50919
04/01/16 09:00,242.50919
04/01/16 10:00,242.50919
04/01/16 11:00,242.50919
04/01/16 12:00,242.50919
04/01/16 13:00,242.50919
04/01/16 14:00,242.50919
04/01/16 15:00,242.50919
04/01/16 16:00,242.50919
04/01/16 17:00,242.50919
04/01/16 18:00,242.50919
04/01/16 19:00,242.50919
04/01/16 20:00,242.50919
04/01/16 21:00,242.50919
04/01/16 22:00,242.50919
04/01/16 23:00,242.50919
05/01/16 00:00,242.50919
05/01/16 01:00,242.50919
05/01/16 02:00,242.50919
05/01/16 03:00,242.50919
05/01/16 04:00,242.50919
05/01/16 05:00,242.50919
05/01/16 06:00,242.50919
05/01/16 07:00,242.50919
05/01/16 08:00,242.50919
05/01/16 09:00,242.50919
05/01/16 10:00,242.50919
05/01/16 11:00,242.50919
05/01/16 12:00,242.50919
05/01/16 13:00,242.50919
05/01/16 14:00,242.50919
05/01/16 15:00,242.50919
05/01/16 16:00,242.50919
05/01/16 17:00,242.50919
05/01/16 18:00,242.50919
05/01/16 19:00,242.50919
05/01/16 20:00,242.50919
05/01/16 21:00,242.50919
05/01/16 22:00,242.50919
05/01/16 23:00,242.50919
06/01/16 00:00,242.50919
06/01/16 01:00,242.50919
06/01/16 02:00,242.50919
06/01/16 03:00,242.50919
06/01/16 04:00,242.50919
06/01/16 05:00,242.50919
06/01/16 06:00,243.11199
06/01/16 07:00,243.11199
06/01/16 08:00,243.11199
06/01/16 09:00,243.11199
06/01/16 10:00,243.11199
06/01/16 11:00,243.11199
06/01/16 12:00,243.11199
06/01/16 13:00,243.11199
06/01/16 14:00,243.11199
06/01/16 15:00,243.11199
06/01/16 16:00,243.11199
06/01/16 17:00,243.11199
06/01/16 18:00,243.11199
06/01/16 19:00,243.11199
06/01/16 20:00,243.11199
06/01/16 21:00,243.11199
06/01/16 22:00,243.11199
06/01/16 23:00,243.11199
07/01/16 00:00,242.50919
07/01/16 01:00,242.50919
07/01/16 02:00,242.50919
07/01/16 03:00,242.50919
07/01/16 04:00,242.50919
07/01/16 05:00,242.50919
07/01/16 06:00,242.50919
07/01/16 07:00,242.50919
07/01/16 08:00,242.50919
07/01/16 09:00,242.50919
07/01/16 10:00,242.50919
07/01/16 11:00,242.50919
07/01/16 12:00,242.50919
07/01/16 13:00,242.50919
07/01/16 14:00,242.50919
07/01/16 15:00,242.50919
07/01/16 16:00,242.50919
07/01/16 17:00,242.50919
07/01/16 18:00,242.50919
07/01/16 19:00,242.50919
07/01/16 20:00,242.50919
07/01/16 21:00,242.50919
07/01/16 22:00,242.50919
07/01/16 23:00,242.50919
08/01/16 00:00,242.50919
08/01/16 01:00,242.50919
08/01/16 02:00,242.50919
08/01/16 03:00,242.50919
08/01/16 04:00,242.50919
08/01/16 05:00,242.50919
08/01/16 06:00,242.50919
08/01/16 07:00,242.50919
08/01/16 08:00,242.50919
08/01/16 09:00,242.50919
08/01/16 10:00,242.50919
08/01/16 11:00,242.50919
08/01/16 12:00,242.50919
08/01/16 13:00,242.50919
08/01/16 14:00,242.50919
08/01/16 15:00,242.50919
08/01/16 16:00,242.50919
08/01/16 17:00,242.50919
08/01/16 18:00,242.50919
08/01/16 19:00,242.50919
08/01/16 20:00,242.50919
08/01/16 21:00,242.50919
08/01/16 22:00,242.50919
08/01/16 23:00,242.50919
09/01/16 00:00,242.50919
09/01/16 01:00,242.50919
09/01/16 02:00,242.50919
09/01/16 03:00,242.50919
09/01/16 04:00,242.50919
09/01/16 05:00,242.50919
09/01/16 06:00,242.50919
09/01/16 07:00,242.50919
09/01/16 08:00,242.50919
09/01/16 09:00,242.50919
09/01/16 10:00,242.50919
09/01/16 11:00,242.50919
09/01/16 12:00,242.50919
09/01/16 13:00,242.50919
09/01/16 14:00,242.50919
09/01/16 15:00,242.50919
09/01/16 16:00,242.50919
09/01/16 17:00,242.50919
09/01/16 18:00,242.50919
09/01/16 19:00,242.50919
09/01/16 20:00,242.50919
09/01/16 21:00,242.50919
09/01/16 22:00,242.50919
09/01/16 23:00,242.50919
10/01/16 00:00,242.50919
10/01/16 01:00,242.50919
10/01/16 02:00,242.50919
10/01/16 03:00,242.50919
10/01/16 04:00,242.50919
10/01/16 05:00,242.50919
10/01/16 06:00,242.50919
10/01/16 07:00,242.50919
10/01/16 08:00,242.50919
10/01/16 09:00,242.50919
10/01/16 10:00,242.50919
10/01/16 11:00,242.50919
10/01/16 12:00,242.50919
10/01/16 13:00,242.50919
10/01/16 14:00,242.50919
10/01/16 15:00,242.50919
10/01/16 16:00,242.50919
10/01/16 17:00,242.50919
10/01/16 18:00,242.50919
10/01/16 19:00,242.50919
10/01/16 20:00,242.50919
10/01/16 21:00,242.50919
10/01/16 22:00,242.50919
10/01/16 23:00,242.50919
11/01/16 00:00,242.50919
11/01/16 01:00,242.50919
11/01/16 02:00,242.50919
11/01/16 03:00,242.50919
11/01/16 04:00,242.50919
11/01/16 05:00,242.50919
11/01/16 06:00,242.50919
11/01/16 07:00,242.50919
11/01/16 08:00,242.50919
11/01/16 09:00,242.50919
11/01/16 10:00,242.50919
11/01/16 11:00,242.50919
11/01/16 12:00,242.50919
11/01/16 13:00,242.50919
11/01/16 14:00,242.50919
11/01/16 15:00,242.50919
11/01/16 16:00,242.50919
11/01/16 17:00,242.50919
11/01/16 18:00,242.50919
11/01/16 19:00,242.50919
11/01/16 20:00,242.50919
11/01/16 21:00,242.50919
11/01/16 22:00,242.50919
11/01/16 23:00,242.50919
12/01/16 00:00,250.41924
12/01/16 01:00,250.41924
12/01/16 02:00,250.41924
12/01/16 03:00,250.41924
12/01/16 04:00,250.41924
12/01/16 05:00,250.41924
12/01/16 06:00,250.41924
12/01/16 07:00,250.41924
12/01/16 08:00,250.41924
12/01/16 09:00,250.41924
12/01/16 10:00,250.41924
12/01/16 11:00,250.41924
12/01/16 12:00,250.41924
12/01/16 13:00,250.41924
12/01/16 14:00,250.41924
12/01/16 15:00,250.41924
12/01/16 16:00,250.41924
12/01/16 17:00,250.41924
12/01/16 18:00,250.41924
12/01/16 19:00,250.41924
12/01/16 20:00,250.41924
12/01/16 21:00,250.41924
12/01/16 22:00,250.41924
12/01/16 23:00,250.41924
01/02/17 00:00,242.50919
01/02/17 01:00,242.50919
01/02/17 02:00,242.50919
01/02/17 03:00,242.50919
01/02/17 04:00,242.50919
01/02/17 05:00,242.50919
01/02/17 06:00,242.50919
01/02/17 07:00,242.50919
01/02/17 08:00,242.50919
01/02/17 09:00,242.50919
01/02/17 10:00,242.50919
01/02/17 11:00,242.50919
01/02/17 12:00,242.50919
01/02/17 13:00,242.50919
01/02/17 14:00,242.50919
01/02/17 15:00,242.50919
01/02/17 16:00,242.50919
01/02/17 17:00,242.50919
01/02/17 18:00,242.50919
01/02/17 19:00,242.50919
01/02/17 20:00,242.50919
01/02/17 21:00,242.50919
01/02/17 22:00,242.50919
01/02/17 23:00,242.50919
01/03/17 00:00,242.50919
01/03/17 01:00,242.50919
01/03/17 02:00,242.50919
01/03/17 03:00,242.50919
01/03/17 04:00,242.50919
01/03/17 05:00,242.50919
01/03/17 06:00,242.50919
01/03/17 07:00,242.50919
01/03/17 08:00,242.50919
01/03/17 09:00,242.50919
01/03/17 10:00,242.50919
01/03/17 11:00,242.50919
01/03/17 12:00,242.50919
01/03/17 13:00,242.50919
01/03/17 14:00,242.50919
01/03/17 15:00,242.50919
01/03/17 16:00,242.50919
01/03/17 17:00,242.50919
01/03/17 18:00,242.50919
01/03/17 19:00,242.50919
01/03/17 20:00,242.50919
01/03/17 21:00,242.50919
01/03/17 22:00,242.50919
01/03/17 23:00,242.50919
01/04/17 00:00,242.50919
01/04/17 01:00,242.50919
01/04/17 02:00,242.50919
01/04/17 03:00,242.50919
01/04/17 04:00,242.50919
01/04/17 05:00,242.50919
01/04/17 06:00,242.50919
01/04/17 07:00,242.50919
01/04/17 08:00,242.50919
01/04/17 09:00,242.50919
01/04/17 10:00,242.50919
01/04/17 11:00,242.50919
01/04/17 12:00,242.50919
01/04/17 13:00,242.50919
01/04/17 14:00,242.50919
01/04/17 15:00,242.50919
01/04/17 16:00,242.50919
01/04/17 17:00,242.50919
01/04/17 18:00,242.50919
01/04/17 19:00,242.50919
01/04/17 20:00,242.50919
01/04/17 21:00,242.50919
01/04/17 22:00,242.50919
01/04/17 23:00,242.50919
01/05/17 00:00,242.50919
01/05/17 01:00,242.50919
01/05/17 02:00,242.50919
01/05/17 03:00,242.50919
01/05/17 04:00,242.50919
01/05/17 05:00,242.50919
01/05/17 06:00,242.50919
01/05/17 07:00,242.50919
01/05/17 08:00,242.50919
01/05/17 09:00,242.50919
01/05/17 10:00,242.50919
01/05/17 11:00,242.50919
01/05/17 12:00,242.50919
01/05/17 13:00,242.50919
01/05/17 14:00,242.50919
01/05/17 15:00,242.50919
01/05/17 16:00,242.50919
01/05/17 17:00,242.50919
01/05/17 18:00,242.50919
01/05/17 19:00,242.50919
01/05/17 20:00,242.50919
01/05/17 21:00,242.50919
01/05/17 22:00,242.50919
01/05/17 23:00,242.50919
06/01/17 00:00,243.11199
06/01/17 01:00,243.11199
06/01/17 02:00,243.11199
06/01/17 03:00,243.11199
06/01/17 04:00,243.11199
06/01/17 05:00,243.11199
06/01/17 06:00,243.11199
06/01/17 07:00,243.11199
06/01/17 08:00,243.11199
06/01/17 09:00,243.11199
06/01/17 10:00,243.11199
06/01/17 11:00,243.11199
06/01/17 12:00,243.11199
06/01/17 13:00,243.11199
06/01/17 14:00,243.11199
06/01/17 15:00,243.11199
06/01/17 16:00,243.11199
06/01/17 17:00,243.11199
06/01/17 18:00,243.11199
06/01/17 19:00,243.11199
06/01/17 20:00,243.11199
06/01/17 21:00,243.11199
06/01/17 22:00,243.11199
06/01/17 23:00,243.11199
07/01/17 00:00,242.50919
07/01/17 01:00,242.50919
07/01/17 02:00,242.50919
07/01/17 03:00,242.50919
07/01/17 04:00,242.50919
07/01/17 05:00,242.50919
07/01/17 06:00,242.50919
07/01/17 07:00,242.50919
07/01/17 08:00,242.50919
07/01/17 09:00,242.50919
07/01/17 10:00,242.50919
07/01/17 11:00,242.50919
07/01/17 12:00,242.50919
07/01/17 13:00,242.50919
07/01/17 14:00,242.50919
07/01/17 15:00,242.50919
07/01/17 16:00,242.50919
07/01/17 17:00,242.50919
07/01/17 18:00,242.50919
07/01/17 19:00,242.50919
07/01/17 20:00,242.50919
07/01/17 21:00,242.50919
07/01/17 22:00,242.50919
07/01/17 23:00,242.50919
08/01/17 00:00,242.50919
08/01/17 01:00,242.50919
08/01/17 02:00,242.50919
08/01/17 03:00,242.50919
08/01/17 04:00,242.50919
08/01/17 05:00,242.50919
08/01/17 06:00,242.50919
08/01/17 07:00,242.50919
08/01/17 08:00,242.50919
08/01/17 09:00,242.50919
08/01/17 10:00,242.50919
08/01/17 11:00,242.50919
08/01/17 12:00,242.50919
08/01/17 13:00,242.50919
08/01/17 14:00,242.50919
08/01/17 15:00,242.50919
08/01/17 16:00,242.50919
08/01/17 17:00,242.50919
08/01/17 18:00,242.50919
08/01/17 19:00,242.50919
