Here is the electrical metering data for the building:

```
"Date","Measurement (kWh)"
"2016-01-01 00:00:00",4.2
"2016-01-01 01:00:00",4.5
"2016-01-01 02:00:00",3.8
"2016-01-01 03:00:00",4.9
"2016-01-01 04:00:00",4.1
"2016-01-01 05:00:00",5.2
"2016-01-01 06:00:00",3.5
"2016-01-01 07:00:00",4.8
"2016-01-01 08:00:00",5.9
"2016-01-01 09:00:00",4.3
"2016-01-01 10:00:00",5.1
"2016-01-01 11:00:00",3.2
"2016-01-01 12:00:00",4.7
"2016-01-01 13:00:00",5.8
"2016-01-01 14:00:00",4.9
"2016-01-01 15:00:00",3.9
"2016-01-01 16:00:00",5.1
"2016-01-01 17:00:00",4.2
"2016-01-01 18:00:00",5.3
"2016-01-01 19:00:00",4.8
"2016-01-01 20:00:00",4.1
```

Let me know if you need any further assistance!
