Timestamp,Outdoor_Temp_C,Indoor_Temp_C,Indoor_Temp_Noisy_C
2021-01-01 00:00:00,7.448,22.000,22.133
2021-01-01 00:30:00,7.130,17.149,17.072
2021-01-01 01:00:00,7.523,15.310,15.278
2021-01-01 01:30:00,7.961,14.214,14.115
2021-01-01 02:00:00,7.082,13.630,13.523
2021-01-01 02:30:00,7.082,12.947,12.803
2021-01-01 03:00:00,7.989,12.492,12.549
2021-01-01 03:30:00,7.583,12.491,12.521
2021-01-01 04:00:00,6.965,12.355,12.192
2021-01-01 04:30:00,7.471,12.058,12.080
2021-01-01 05:00:00,6.968,12.029,12.097
2021-01-01 05:30:00,6.967,11.842,12.031
2021-01-01 06:00:00,7.320,11.717,11.813
2021-01-01 06:30:00,6.243,11.751,11.762
2021-01-01 07:00:00,6.337,11.415,11.367
2021-01-01 07:30:00,6.918,11.222,11.307
2021-01-01 08:00:00,6.693,11.288,11.433
2021-01-01 08:30:00,7.356,11.256,11.362
2021-01-01 09:00:00,6.745,11.456,11.473
2021-01-01 09:30:00,6.493,11.386,11.437
2021-01-01 10:00:00,7.932,11.255,11.121
2021-01-01 10:30:00,7.086,11.647,11.704
2021-01-01 11:00:00,7.233,11.627,11.766
2021-01-01 11:30:00,6.487,11.662,11.656
2021-01-01 12:00:00,6.927,11.437,11.449
2021-01-01 12:30:00,7.255,11.434,11.555
2021-01-01 13:00:00,6.624,11.541,11.541
2021-01-01 13:30:00,7.387,11.402,11.565
2021-01-01 14:00:00,6.899,11.564,11.599
2021-01-01 14:30:00,7.054,11.509,11.613
2021-01-01 15:00:00,6.899,11.524,11.485
2021-01-01 15:30:00,8.126,11.482,11.534
2021-01-01 16:00:00,7.193,11.863,12.032
2021-01-01 16:30:00,6.671,11.806,11.674
2021-01-01 17:00:00,7.611,11.594,11.737
2021-01-01 17:30:00,6.589,11.766,11.558
2021-01-01 18:00:00,7.304,11.541,11.528
2021-01-01 18:30:00,6.220,11.628,11.691
2021-01-01 19:00:00,6.535,11.325,11.267
2021-01-01 19:30:00,7.298,11.229,11.258
2021-01-01 20:00:00,7.569,11.418,11.545
2021-01-01 20:30:00,7.285,11.635,11.664
2021-01-01 21:00:00,7.142,11.685,11.488
2021-01-01 21:30:00,7.049,11.671,11.751
2021-01-01 22:00:00,6.460,11.630,11.733
2021-01-01 22:30:00,6.839,11.407,11.419
2021-01-01 23:00:00,6.969,11.384,11.382
2021-01-01 23:30:00,7.728,11.413,11.417
2021-01-02 00:00:00,7.405,11.684,11.521
2021-01-02 00:30:00,6.352,11.758,11.719
2021-01-02 01:00:00,7.395,11.456,11.626
2021-01-02 01:30:00,7.041,11.602,11.708
2021-01-02 02:00:00,6.895,11.582,11.651
2021-01-02 02:30:00,7.539,11.519,11.476
2021-01-02 03:00:00,7.749,11.693,11.659
